OBJECTID,LAND,BEZ,LOR_ab_2021,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,LOR,STRASSE,quadrant
219249,11,3,3701658.0,2021,11,18,2,3,0,3,2,0,1,0,1,0,0,1,"800202,0742","5829640,204","13,42689483","52,53393955",,,3773.0
219248,11,7,7501134.0,2021,12,19,7,3,6,2,2,0,1,1,0,0,0,1,"798479,5317","5819049,219","13,39209027","52,43995086",,,4865.0
219247,11,4,4100101.0,2021,12,17,4,3,5,2,2,0,1,0,0,0,0,0,"793352,6128","5829680,195","13,32624193","52,53802784",,,4069.0
219246,11,4,4501041.0,2021,12,15,7,3,5,2,1,0,1,0,1,0,0,1,"792950,0395","5825362,081","13,31652064","52,49953417",,,1827.0
219243,11,11,11501339.0,2021,12,9,5,3,3,6,0,0,1,0,0,0,1,2,"807182,01","5825602,793","13,52575163","52,49386714",,,4041.0
219241,11,1,1100308.0,2021,12,22,5,3,1,5,2,0,1,0,0,0,0,1,"796605,7279","5829088,391","13,37353829","52,53096213",,,1652.0
219240,11,10,10200524.0,2021,12,5,1,3,1,5,2,0,1,0,0,0,0,2,"812275,3654","5830609,751","13,60523023","52,53584537",,,1353.0
219239,11,7,7200409.0,2021,12,20,7,2,5,7,2,0,1,0,0,0,0,2,"795262,58","5824374,901","13,34961395","52,48943851",,,5652.0
219238,11,1,1300733.0,2021,11,22,3,3,2,6,2,0,1,0,0,0,0,1,"797163,3962","5831385,088","13,38378941","52,55124558",,,1353.0
219237,11,2,2200208.0,2021,12,7,2,3,6,4,2,0,1,1,0,0,0,0,"797529,4622","5824997,119","13,38345801","52,49378526",,,4430.0
219235,11,11,11100204.0,2021,12,19,3,3,2,2,2,0,1,0,0,0,0,1,"805955,9268","5833701,602","13,51520192","52,56713943",,,4040.0
219233,11,7,7100205.0,2021,12,13,7,3,3,6,0,0,1,0,1,0,0,1,"796467,22","5824883,082","13,36775616","52,49334102",,,3243.0
219230,11,7,7200307.0,2021,12,10,3,3,6,7,0,0,0,1,0,0,1,0,"794935,9206","5824544,661","13,34496711","52,49113688",,,3059.0
219229,11,7,7100101.0,2021,12,19,4,3,6,2,2,0,1,1,0,0,0,0,"794592,1948","5825505,265","13,34076867","52,49993372",,,4652.0
219228,11,1,1100205.0,2021,12,19,4,3,5,7,2,0,1,0,0,0,0,0,"796971,936","5826718,537","13,37680527","52,50951959",,,2848.0
219226,11,7,7300516.0,2021,12,18,5,3,6,7,2,0,0,1,0,0,1,0,"793975,8208","5821706,891","13,3283651","52,46621546",,,4553.0
219225,11,6,6400841.0,2021,12,7,5,3,6,2,2,0,1,1,0,0,0,0,"789616,5637","5818717,717","13,26178321","52,4417447",,,4672.0
219223,11,6,6400839.0,2021,11,15,2,3,5,3,1,0,1,0,0,0,1,1,"788237,3736","5818274,027","13,24116591","52,43849547",,,4067.0
219221,11,4,4500939.0,2021,12,18,4,3,5,2,1,1,1,0,0,0,0,0,"792439,7595","5824095,448","13,30791309","52,48845278",,,6136.0
219220,11,9,9100306.0,2021,12,21,4,2,8,1,2,0,1,0,0,0,0,0,"803124,462","5820953,915","13,4619448","52,454468",,,4160.0
219219,11,7,7300619.0,2021,12,17,2,3,5,2,2,0,1,0,1,0,0,1,"794980,7954","5822325,17","13,34366241","52,47121631",,,5732.0
219217,11,4,4501042.0,2021,12,17,7,3,6,4,2,0,0,1,0,0,1,0,"793999,8532","5826182,642","13,33266585","52,5063255",,,4253.0
219216,11,1,1100102.0,2021,11,18,3,3,0,6,2,0,1,0,1,0,0,1,"795066,8666","5827221,642","13,3492624","52,51506335",,,5652.0
219215,11,9,9200715.0,2021,12,11,2,2,6,2,0,0,1,1,0,0,0,0,"809320,9583","5818504,317","13,55057965","52,42904384",,,3676.0
219214,11,1,1100102.0,2021,12,9,2,3,0,5,0,1,1,0,0,0,0,1,"796973,1702","5826579,744","13,37669957","52,50827479",,,5262.0
219213,11,3,3500934.0,2021,12,18,2,3,6,4,2,0,1,1,0,0,0,1,"800861,7599","5831744,251","13,4384967","52,5524347",,,3158.0
219211,11,8,8100105.0,2021,12,19,4,3,2,6,2,0,1,0,0,0,0,0,"800969,046","5822243,603","13,43148363","52,46721899",,,1827.0
219209,11,11,11400929.0,2021,12,13,5,3,5,3,0,0,1,0,0,0,0,1,"805144,5837","5827041,31","13,4971528","52,50790264",,,3133.0
219207,11,8,8300934.0,2021,12,18,5,3,5,2,2,0,1,0,0,0,1,1,"802872,1491","5818247,365","13,45578997","52,43034887",,,1524.0
219206,11,10,10400835.0,2021,12,16,2,2,6,4,2,0,1,1,0,0,0,1,"811853,9804","5829751,936","13,59823297","52,52839961",,,4332.0
219205,11,12,12601134.0,2021,12,15,2,3,0,7,1,0,1,0,0,0,1,0,"795072,5596","5837284,016","13,35829309","52,60526073",,,4150.0
219204,11,12,12200308.0,2021,12,14,5,3,5,3,0,0,1,0,0,0,0,0,"792810,085","5833870,557","13,32196238","52,57588428",,,5352.0
219203,11,2,2300417.0,2021,12,13,3,3,3,6,0,0,1,0,0,0,1,0,"800722,271","5825637,564","13,43092335","52,49777612",,,4228.0
219201,11,5,5200629.0,2021,12,10,5,3,0,3,0,0,1,0,1,0,0,0,"784466,2997","5828739,713","13,19477295","52,53430707",,,6655.0
219200,11,5,5200629.0,2021,12,11,6,3,5,2,0,0,1,0,0,0,0,0,"784452,915","5828671,699","13,19451794","52,53370424",,,3144.0
219198,11,1,1200522.0,2021,12,8,6,3,2,6,0,0,1,0,0,0,0,2,"793730,713","5828121,725","13,33042363","52,52385335",,,5667.0
219195,11,4,4501153.0,2021,12,17,2,3,6,4,2,0,1,1,0,0,0,0,"794184,6225","5823924,224","13,3333858","52,48598039",,,4340.0
219194,11,6,6300524.0,2021,12,9,3,2,1,5,0,0,1,0,0,0,0,0,"788276,492","5817552,956","13,24111798","52,43200998",,,1225.0
219193,11,5,5100209.0,2021,12,18,4,3,5,2,2,1,1,0,0,0,0,0,"783320,2118","5830271,905","13,17922829","52,54864203",,,4330.0
219192,11,12,12500930.0,2021,12,21,2,3,5,3,2,0,1,0,0,0,0,1,"793947,0866","5835309,195","13,33996856","52,58816769",,,2947.0
219190,11,1,1100310.0,2021,12,12,6,3,1,5,0,1,1,0,0,0,0,0,"799021,6282","5828725,878","13,40872126","52,52639286",,,5453.0
219189,11,3,3601451.0,2021,12,17,5,2,5,3,2,1,1,0,0,0,0,0,"801364,4615","5829700,555","13,44403463","52,53383903",,,4253.0
219188,11,7,7300516.0,2021,12,18,3,3,5,2,2,1,1,0,0,0,0,0,"793996,52","5821562,277","13,32854151","52,46490792",,,3870.0
219186,11,6,6200311.0,2021,12,7,4,3,2,6,2,0,1,0,0,0,0,1,"795778,4558","5818171,79","13,35169293","52,43355284",,,5535.0
219185,11,8,8200832.0,2021,12,18,6,3,5,2,2,0,1,0,1,0,0,0,"801616,9395","5817424,937","13,43664219","52,42367063",,,4623.0
219183,11,8,8100102.0,2021,12,17,7,3,2,1,2,0,1,0,0,0,0,2,"800498,2262","5823504,97","13,42571004","52,4787843",,,5066.0
219180,11,5,5100316.0,2021,12,16,3,3,0,1,2,1,0,0,0,0,0,0,"784841,5142","5829023,437","13,20053294","52,53665496",,,4569.0
219179,11,9,9501940.0,2021,12,8,4,3,1,1,1,0,1,0,0,0,0,1,"811736,4895","5821611,547","13,58889101","52,45551823",,,3944.0
219178,11,9,9300920.0,2021,12,17,3,3,6,4,2,0,1,1,0,0,0,0,"808563,9402","5817462,519","13,53851982","52,42013462",,,3335.0
219177,11,6,6100102.0,2021,12,14,6,3,2,6,0,0,1,0,0,0,0,0,"793625,5291","5820608,089","13,32225692","52,45655345",,,2952.0
219175,11,3,3501038.0,2021,12,14,5,2,6,4,0,1,0,1,0,0,0,0,"803615,0186","5832300,029","13,47948842","52,55588825",,,4654.0
219174,11,1,1300836.0,2021,12,16,1,3,2,6,2,0,1,0,0,0,0,1,"796843,9981","5830310,166","13,37813184","52,54178429",,,6864.0
219172,11,1,1401046.0,2021,11,20,3,2,6,2,2,0,0,1,0,0,1,1,"794633,3388","5829886,316","13,34525341","52,53918465",,,4059.0
219170,11,8,8100208.0,2021,12,11,3,3,6,2,0,0,1,1,0,0,0,2,"801643,043","5822555,927","13,4416576","52,46964673",,,3842.0
219169,11,11,11200512.0,2021,12,16,2,3,5,3,1,1,1,0,0,0,0,1,"804119,9972","5831901,379","13,4865488","52,5520336",,,4863.0
219168,11,2,2100106.0,2021,12,11,1,3,2,6,0,0,1,0,0,0,0,0,"799824,7533","5825702,858","13,41780063","52,49885518",,,7550.0
219167,11,11,11501340.0,2021,12,12,5,3,1,5,0,1,1,0,0,0,0,0,"807478,4507","5825672,24","13,5301684","52,49432263",,,5338.0
219166,11,8,8100521.0,2021,12,0,3,3,3,6,2,0,1,0,0,1,0,1,"802117,7878","5822036,586","13,44815509","52,46472947",,,4348.0
219164,11,12,12500929.0,2021,12,13,7,3,0,7,0,0,1,0,0,0,1,1,"794060,3812","5838160,831","13,344169","52,6136691",,,3537.0
219163,11,6,6200422.0,2021,11,15,3,3,5,3,0,1,1,0,0,0,0,1,"794732,0667","5816291,921","13,33468927","52,41726546",,,2749.0
219162,11,10,10100208.0,2021,12,5,2,3,6,2,2,0,1,1,0,0,0,1,"808512,8496","5832430,605","13,5516257","52,5543062",,,4855.0
219161,11,2,2300417.0,2021,12,16,2,3,6,4,2,0,1,1,0,0,0,1,"800598,0532","5825202,629","13,42870657","52,49394608",,,4448.0
219159,11,1,1100103.0,2021,12,15,3,3,2,1,0,0,1,0,0,0,0,1,"795181,1899","5825903,644","13,34977341","52,50318662",,,4339.0
219157,11,6,6300527.0,2021,12,23,5,3,1,6,2,0,1,0,0,0,0,1,"790141,1196","5817517,451","13,26843715","52,43070585",,,4229.0
219154,11,6,6300525.0,2021,12,11,2,2,2,6,0,0,1,0,0,0,0,1,"788895,0757","5816149,104","13,2489789","52,41909731",,,5446.0
219153,11,1,1100207.0,2021,12,22,3,2,5,3,2,0,1,0,1,0,0,1,"797902,2139","5826578,639","13,39034694","52,50775837",,,5059.0
