quadrant,count
5453.0,91
4251.0,81
4848.0,79
4755.0,78
3756.0,78
4160.0,78
5249.0,75
4265.0,75
5143.0,73
4365.0,70
4065.0,70
2851.0,67
1658.0,67
4067.0,63
4657.0,63
3567.0,60
4654.0,60
5752.0,59
4451.0,59
4547.0,59
4757.0,59
4446.0,56
3349.0,56
5652.0,55
5356.0,55
4864.0,53
4558.0,53
5044.0,53
4453.0,52
4447.0,51
3555.0,51
2854.0,50
3749.0,50
4853.0,49
4960.0,49
4942.0,49
2947.0,49
3152.0,48
5446.0,48
4856.0,48
4150.0,48
5457.0,47
4257.0,47
4754.0,47
4760.0,47
3154.0,47
4452.0,46
3944.0,46
5248.0,46
4357.0,46
4047.0,45
3350.0,45
3559.0,45
4363.0,45
3849.0,45
4749.0,44
3649.0,44
4948.0,44
3444.0,43
3148.0,43
3549.0,43
4448.0,43
5048.0,43
3248.0,43
4652.0,43
4548.0,43
5064.0,43
4944.0,42
4450.0,42
4855.0,42
4550.0,41
3352.0,41
3051.0,41
4455.0,40
2848.0,40
4463.0,40
6359.0,40
4449.0,39
4344.0,39
1557.0,39
3550.0,39
4863.0,39
4849.0,39
4456.0,39
4459.0,39
4748.0,39
4658.0,39
5553.0,39
2751.0,38
4553.0,38
5063.0,38
4339.0,38
5349.0,38
4059.0,37
1660.0,37
7232.0,36
4559.0,36
4651.0,36
5041.0,36
5038.0,36
4430.0,36
3228.0,35
5133.0,35
3650.0,35
4951.0,35
3245.0,34
2951.0,34
3452.0,34
5051.0,34
3850.0,34
4163.0,34
5649.0,34
2857.0,34
3546.0,34
3750.0,34
4156.0,33
4229.0,33
4464.0,33
4069.0,33
1558.0,33
3945.0,33
5243.0,33
5441.0,33
5039.0,33
4865.0,32
5352.0,32
5253.0,32
3648.0,32
5059.0,32
3942.0,32
4854.0,31
5054.0,31
3745.0,31
3843.0,31
4454.0,31
3150.0,31
4845.0,31
3060.0,31
3848.0,31
4153.0,31
5351.0,31
3348.0,31
4352.0,30
5952.0,30
4648.0,30
4261.0,30
4140.0,30
4041.0,30
5050.0,30
3861.0,30
4151.0,30
5548.0,30
1462.0,30
3046.0,30
4353.0,30
3145.0,29
5939.0,29
3870.0,29
3353.0,29
3058.0,29
3676.0,29
3480.0,29
5342.0,29
5126.0,29
4761.0,29
4850.0,29
4343.0,29
5132.0,29
3542.0,29
4264.0,29
3964.0,28
3071.0,28
4364.0,28
5452.0,28
5151.0,28
4049.0,28
3242.0,28
3566.0,28
7331.0,28
3050.0,28
6660.0,28
2634.0,27
3449.0,27
5551.0,27
3151.0,27
4332.0,27
4259.0,27
2529.0,27
3371.0,27
3551.0,27
4546.0,27
4033.0,27
3847.0,27
2553.0,27
4551.0,27
2876.0,27
2849.0,27
4750.0,27
4557.0,27
4245.0,27
3250.0,27
2852.0,27
5341.0,26
6967.0,26
4656.0,26
3970.0,26
4846.0,26
3252.0,26
5055.0,26
6167.0,26
5451.0,26
2847.0,26
5160.0,26
3863.0,26
2954.0,26
6235.0,26
4046.0,26
6629.0,26
1353.0,26
5139.0,26
4655.0,26
5749.0,25
4239.0,25
1163.0,25
3345.0,25
4045.0,25
5144.0,25
3748.0,25
7659.0,25
4949.0,25
3268.0,25
2754.0,25
4664.0,25
4354.0,25
2059.0,25
6830.0,24
3253.0,24
6238.0,24
3445.0,24
3442.0,24
3661.0,24
3948.0,24
4023.0,24
5852.0,24
3536.0,24
4351.0,24
3855.0,24
6935.0,24
3048.0,24
5155.0,24
3547.0,24
1760.0,24
5650.0,24
4862.0,24
4623.0,24
4445.0,24
5262.0,24
3147.0,24
7134.0,24
5052.0,24
4753.0,23
3730.0,23
4675.0,23
2973.0,23
2359.0,23
4952.0,23
3062.0,23
3538.0,23
5065.0,23
5062.0,23
3853.0,23
3656.0,23
5131.0,22
3744.0,22
4956.0,22
4961.0,22
5058.0,22
4752.0,22
3760.0,22
2659.0,22
3247.0,22
4650.0,22
5142.0,22
5327.0,22
3381.0,22
4943.0,22
7236.0,22
4645.0,22
5046.0,22
2651.0,22
5237.0,22
4962.0,22
5053.0,22
3764.0,22
4255.0,22
4062.0,22
4358.0,22
2160.0,22
2130.0,22
4348.0,22
4340.0,22
3639.0,22
3548.0,22
7462.0,22
5362.0,22
4852.0,22
1766.0,21
2850.0,21
1554.0,21
5045.0,21
5238.0,21
3466.0,21
4253.0,21
1659.0,21
5149.0,21
5261.0,21
1556.0,21
5463.0,21
5145.0,21
4526.0,21
4745.0,21
4068.0,21
4556.0,21
4048.0,21
5153.0,20
5925.0,20
3335.0,20
4338.0,20
3851.0,20
2842.0,20
7235.0,20
3446.0,20
3149.0,20
5662.0,20
7660.0,20
5162.0,20
4569.0,20
5244.0,20
5239.0,20
3865.0,20
4945.0,20
4860.0,20
4056.0,20
3346.0,20
3841.0,20
6137.0,20
4330.0,20
4162.0,19
4762.0,19
4674.0,19
3961.0,19
5353.0,19
7132.0,19
5256.0,19
4458.0,19
3556.0,19
6263.0,19
4638.0,19
6427.0,19
7035.0,19
4235.0,19
6151.0,19
4766.0,19
4061.0,19
3742.0,19
4756.0,19
3868.0,19
4238.0,19
5040.0,19
3032.0,19
3144.0,19
958.0,19
4345.0,19
3450.0,19
5854.0,18
3856.0,18
2958.0,18
4954.0,18
4957.0,18
3063.0,18
1225.0,18
4950.0,18
4953.0,18
5826.0,18
3474.0,18
4964.0,18
4055.0,18
2976.0,18
3876.0,18
5755.0,18
5354.0,18
3436.0,18
3256.0,18
4135.0,18
3136.0,18
3962.0,18
5552.0,18
3454.0,18
6851.0,18
3666.0,18
6028.0,18
1959.0,18
4560.0,18
5557.0,18
5428.0,18
