quadrant,count
5453.0,47
4548.0,40
4749.0,39
5143.0,36
4755.0,36
4065.0,31
4251.0,31
4855.0,30
2854.0,29
4160.0,29
4848.0,29
4657.0,29
4365.0,29
3567.0,28
4942.0,27
1658.0,27
5551.0,27
4558.0,26
4448.0,26
3550.0,26
3756.0,25
4363.0,25
3058.0,24
5452.0,24
5249.0,24
4856.0,23
4451.0,23
4864.0,23
5446.0,23
4550.0,22
2947.0,22
4023.0,21
3750.0,21
3152.0,21
4453.0,21
4339.0,21
4753.0,21
4364.0,21
4944.0,21
4357.0,21
4658.0,20
3051.0,20
1660.0,20
4048.0,20
4265.0,20
3850.0,20
3547.0,20
5441.0,20
3150.0,20
2851.0,20
5752.0,19
3444.0,19
5451.0,19
4760.0,19
3248.0,19
5351.0,19
3843.0,19
3349.0,19
4655.0,19
5939.0,19
4150.0,19
4654.0,19
3559.0,19
4456.0,19
4463.0,19
4067.0,19
3446.0,19
3555.0,19
5356.0,18
4623.0,18
5048.0,18
3250.0,18
5248.0,18
4446.0,18
3350.0,18
5044.0,18
5064.0,18
3449.0,17
5253.0,17
2848.0,17
6359.0,17
4450.0,17
3649.0,17
3847.0,17
5652.0,17
4652.0,17
4551.0,17
5262.0,17
3945.0,17
4264.0,17
5457.0,17
3252.0,16
4756.0,16
4853.0,16
3348.0,16
4464.0,16
2850.0,16
4547.0,16
3650.0,16
5050.0,16
3542.0,16
4717.0,16
3452.0,16
1462.0,15
3730.0,15
3352.0,15
3774.0,15
5238.0,15
4546.0,15
4948.0,15
4261.0,15
3538.0,15
4850.0,15
5063.0,15
4335.0,15
4146.0,15
5059.0,15
3071.0,15
4151.0,15
5145.0,15
4849.0,15
5053.0,15
1760.0,15
3853.0,15
4757.0,15
4257.0,15
3849.0,15
3549.0,14
4246.0,14
5134.0,14
4140.0,14
4077.0,14
4334.0,14
3149.0,14
3749.0,14
4340.0,14
4852.0,14
6151.0,14
5952.0,14
3959.0,14
1558.0,14
4646.0,14
5039.0,14
4862.0,14
4461.0,14
3245.0,14
3239.0,14
5352.0,14
6729.0,14
1766.0,13
3466.0,13
3851.0,13
3353.0,13
4863.0,13
7659.0,13
4346.0,13
4660.0,13
4139.0,13
4447.0,13
3941.0,13
4647.0,13
5340.0,13
3868.0,13
4851.0,13
2751.0,13
5041.0,13
4754.0,13
5038.0,13
1562.0,13
3745.0,13
4245.0,13
4762.0,13
4960.0,12
2553.0,12
2847.0,12
3048.0,12
3032.0,12
4956.0,12
4656.0,12
3151.0,12
3448.0,12
3154.0,12
5242.0,12
3343.0,12
2063.0,12
7132.0,12
2651.0,12
3546.0,12
5054.0,12
5055.0,12
7236.0,12
1659.0,12
3876.0,12
4358.0,12
3861.0,12
3848.0,12
5758.0,12
3729.0,12
3955.0,12
3961.0,12
4047.0,12
4059.0,12
5045.0,12
3642.0,12
4066.0,12
5043.0,12
3556.0,12
5852.0,12
3758.0,12
4239.0,12
4238.0,12
5142.0,12
5146.0,12
5155.0,12
1664.0,12
3145.0,11
3823.0,11
3242.0,11
5243.0,11
3757.0,11
5040.0,11
3228.0,11
7462.0,11
4860.0,11
5553.0,11
5137.0,11
2630.0,11
4761.0,11
4249.0,11
4230.0,11
5548.0,11
4332.0,11
4354.0,11
4062.0,11
6629.0,11
1163.0,11
3949.0,11
4567.0,11
4353.0,11
1557.0,11
4458.0,11
5961.0,11
5362.0,11
3744.0,11
4445.0,11
4946.0,11
3639.0,11
3748.0,11
4559.0,11
4455.0,11
5837.0,11
4957.0,11
3345.0,11
7232.0,11
4949.0,11
3638.0,11
4344.0,10
3970.0,10
3436.0,10
4348.0,10
4041.0,10
4854.0,10
6240.0,10
6058.0,10
4343.0,10
3046.0,10
3442.0,10
4165.0,10
4764.0,10
2659.0,10
3566.0,10
4467.0,10
5463.0,10
3474.0,10
2754.0,10
5162.0,10
5263.0,10
2849.0,10
758.0,10
1762.0,10
3944.0,10
4951.0,10
5838.0,10
3834.0,10
5341.0,10
3253.0,10
7331.0,10
5749.0,10
3845.0,10
5342.0,10
4569.0,10
3548.0,10
